

###

Time: 6/26/2023 1:10:23 AM | Price: 0.4856356552542372881355932203

###

Time: 6/26/2023 1:15:23 AM | Price: 0.4851447085858585858585858586

###

Time: 6/26/2023 1:20:23 AM | Price: 0.4857741956902356902356902357

###

Time: 6/26/2023 1:25:23 AM | Price: 0.4863152966329966329966329966

###

Time: 6/26/2023 1:30:23 AM | Price: 0.4869664378451178451178451178

###

Time: 6/26/2023 1:35:23 AM | Price: 0.4870147851178451178451178451

###

Time: 6/26/2023 1:40:23 AM | Price: 0.4868316458922558922558922559

###

Time: 6/26/2023 1:45:23 AM | Price: 0.4858808439864864864864864865

###

Time: 6/26/2023 1:55:23 AM | Price: 0.4839027233783783783783783784

###

Time: 6/26/2023 2:10:23 AM | Price: 0.4845738452188552188552188552

###

Time: 6/26/2023 2:15:23 AM | Price: 0.4844981630743243243243243243

###

Time: 6/26/2023 2:20:23 AM | Price: 0.4835230882828282828282828283

###

Time: 6/26/2023 2:25:23 AM | Price: 0.4831069227609427609427609428

###

Time: 6/26/2023 2:30:23 AM | Price: 0.4833289083838383838383838384

###

Time: 6/26/2023 2:35:23 AM | Price: 0.4840411178114478114478114478

###

Time: 6/26/2023 2:40:23 AM | Price: 0.4841987159459459459459459459

###

Time: 6/26/2023 2:45:23 AM | Price: 0.4839702502515723270440251572

###

